source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,phot_g_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,teff_val,a_g_val
1.14947E+18,125.6080765,28.22968804,85.00561262,19.35935457,,,21.07197,,,,NOT_AVAILABLE,,
1.14951E+18,117.2039815,0.844972704,85.16163229,1.000704777,-0.348005451,0.914312324,20.81371,0.7444744,,,NOT_AVAILABLE,,
1.14954E+18,119.6451138,0.61873027,85.41169447,0.819914407,0.601794152,0.912989615,20.595955,1.7970009,,,NOT_AVAILABLE,,
1.14951E+18,120.8723601,3.310499612,85.12010527,4.495048081,,,21.226875,,,,NOT_AVAILABLE,,
1.14947E+18,124.1891228,0.243953197,85.11852944,0.310271711,0.070152807,0.295031401,19.61608,0.8351326,,,NOT_AVAILABLE,,
1.14952E+18,122.2267496,0.20123286,85.19991757,0.262473569,0.881226956,0.252551892,19.451977,1.7470169,,,NOT_AVAILABLE,,
1.14953E+18,120.1626041,0.126066786,85.26678428,0.145634155,0.644541064,0.160781826,18.543684,1.4247303,,,NOT_AVAILABLE,,
1.14953E+18,120.0452302,0.168629393,85.2200911,0.217660216,0.887164332,0.224794994,19.107151,2.2491226,,,NOT_AVAILABLE,,
1.14953E+18,119.0022909,0.168771729,85.22741022,0.215084143,0.47323967,0.236665348,18.93926,1.0699654,,,NOT_AVAILABLE,,
1.14954E+18,120.3444973,0.0312397,85.31939095,0.037684011,0.504205941,0.042053739,16.168463,0.9517946,,,NOT_AVAILABLE,5399.3335,0.4955
1.14952E+18,123.7013612,0.589862742,85.14077387,0.892538189,1.961329114,0.758885432,20.732761,1.8890591,,,NOT_AVAILABLE,,
1.14953E+18,120.0450606,0.064065928,85.26931876,0.081348714,0.452698162,0.086478103,17.44911,1.150013,,,NOT_AVAILABLE,,
1.1495E+18,117.8773661,0.499352954,85.05369482,0.597788674,0.703445557,0.652716771,20.308025,1.8549023,,,NOT_AVAILABLE,,
1.14953E+18,119.71416,1.487113722,85.14747455,2.25827658,,,21.106407,,,,NOT_AVAILABLE,,
1.14947E+18,124.4092224,0.821321073,85.08132566,1.079192337,0.543952105,0.949034715,20.841135,0.8467369,,,NOT_AVAILABLE,,
1.14953E+18,120.0726251,0.073186406,85.21631411,0.094776016,0.436170876,0.096068835,17.83429,1.2264023,,,NOT_AVAILABLE,,
